timestamp,account_id,channel,device_id,ip_address,transaction_type,amount_inr,is_fraud_flag
2026-02-21 22:36:34,ACT_3942,RTGS,IMEI_67329,192.168.1.107,Standard Transfer,2865,0
2026-02-21 22:37:34,ACT_1575,Mobile App,IMEI_87613,192.168.1.109,Standard Transfer,725,0
2026-02-21 22:39:34,ACT_1680,ATM,IMEI_28940,192.168.1.15,Standard Transfer,1318,0
2026-02-21 22:39:34,ACT_6605,Web Banking,IMEI_40715,192.168.1.17,Standard Transfer,4382,0
2026-02-21 22:52:34,ACT_1312,ATM,IMEI_93455,192.168.1.44,Standard Transfer,3540,0
2026-02-21 22:59:34,ACT_7679,Mobile App,IMEI_72117,192.168.1.199,Standard Transfer,4159,0
2026-02-21 23:17:34,ACT_2102,Mobile App,IMEI_88266,192.168.1.130,Standard Transfer,3215,0
2026-02-21 23:20:34,ACT_7319,Web Banking,IMEI_32554,192.168.1.97,Standard Transfer,1409,0
2026-02-21 23:26:34,ACT_1273,Web Banking,IMEI_84949,192.168.1.92,Standard Transfer,4927,0
2026-02-21 23:27:34,ACT_4494,ATM,IMEI_79863,192.168.1.59,Standard Transfer,4540,0
2026-02-21 23:31:34,ACT_5111,Mobile App,IMEI_49657,192.168.1.10,Standard Transfer,4965,0
2026-02-21 23:36:34,ACT_2034,Mobile App,IMEI_84675,192.168.1.212,Standard Transfer,3611,0
2026-02-21 23:43:34,ACT_3866,Web Banking,IMEI_26285,192.168.1.230,Standard Transfer,1938,0
2026-02-21 23:46:34,ACT_5767,ATM,IMEI_72782,192.168.1.189,Standard Transfer,2026,0
2026-02-21 23:48:34,ACT_2540,Web Banking,IMEI_69810,192.168.1.115,Standard Transfer,1934,0
2026-02-21 23:52:34,ACT_5522,Mobile App,IMEI_67646,192.168.1.185,Standard Transfer,3050,0
2026-02-21 23:53:34,ACT_4221,ATM,IMEI_96572,192.168.1.160,Standard Transfer,3276,0
2026-02-21 23:56:34,ACT_8204,Web Banking,IMEI_74434,192.168.1.199,Standard Transfer,1526,0
2026-02-21 23:56:34,ACT_4883,UPI,IMEI_29567,192.168.1.50,Standard Transfer,3961,0
2026-02-21 23:58:34,ACT_8696,RTGS,IMEI_39912,192.168.1.65,Standard Transfer,3439,0
2026-02-21 23:59:34,ACT_5389,RTGS,IMEI_11572,192.168.1.221,Standard Transfer,144,0
2026-02-22 00:02:34,ACT_9016,UPI,IMEI_31387,192.168.1.168,Standard Transfer,937,0
2026-02-22 00:06:34,ACT_1575,UPI,IMEI_34027,192.168.1.34,Standard Transfer,2520,0
2026-02-22 00:09:34,ACT_8487,ATM,IMEI_42486,192.168.1.162,Standard Transfer,598,0
2026-02-22 00:11:34,ACT_2897,Mobile App,IMEI_87642,192.168.1.59,Standard Transfer,2519,0
2026-02-22 00:20:34,ACT_7923,Web Banking,IMEI_88266,192.168.1.62,Standard Transfer,867,0
2026-02-22 00:20:34,ACT_2992,UPI,IMEI_32404,192.168.1.180,Standard Transfer,4989,0
2026-02-22 00:22:34,ACT_6911,UPI,IMEI_60352,192.168.1.156,Standard Transfer,482,0
2026-02-22 00:25:34,ACT_3108,RTGS,IMEI_87171,192.168.1.141,Standard Transfer,193,0
2026-02-22 00:28:34,ACT_1410,UPI,IMEI_60366,192.168.1.198,Standard Transfer,724,0
2026-02-22 00:35:34,ACT_6682,Web Banking,IMEI_88980,192.168.1.43,Standard Transfer,168,0
2026-02-22 00:38:34,ACT_5398,Mobile App,IMEI_72939,192.168.1.188,Standard Transfer,4039,0
2026-02-22 00:51:34,ACT_5377,ATM,IMEI_49352,192.168.1.236,Standard Transfer,4818,0
2026-02-22 00:51:34,ACT_2847,Web Banking,IMEI_46946,192.168.1.74,Standard Transfer,211,0
2026-02-22 01:00:34,ACT_5808,ATM,IMEI_51614,192.168.1.103,Standard Transfer,2859,0
2026-02-22 01:01:34,ACT_4612,UPI,IMEI_61429,192.168.1.216,Standard Transfer,2833,0
2026-02-22 01:02:34,ACT_1461,UPI,IMEI_17167,192.168.1.62,Standard Transfer,3435,0
2026-02-22 01:13:34,ACT_5548,Web Banking,IMEI_17801,192.168.1.85,Standard Transfer,1741,0
2026-02-22 01:27:34,ACT_4844,Web Banking,IMEI_22420,192.168.1.10,Standard Transfer,4189,0
2026-02-22 01:29:34,ACT_7839,RTGS,IMEI_72117,192.168.1.110,Standard Transfer,2946,0
2026-02-22 01:32:34,ACT_1923,Mobile App,IMEI_39948,192.168.1.89,Standard Transfer,1764,0
2026-02-22 01:42:34,ACT_3321,ATM,IMEI_47446,192.168.1.86,Standard Transfer,2251,0
2026-02-22 01:48:34,ACT_8872,ATM,IMEI_25770,192.168.1.197,Standard Transfer,1576,0
